"","ID","account_open_date","age","location","occupation","income_level","fico_score","delinquency_status","charge_off_status","number_of_credit_applications","debt_to_income_ratio","payment_methods_high_risk","max_balance","avg_balance_last_12months","number_of_delinquent_accounts","number_of_defaulted_accounts","earliest_credit_account","recent_trade_activity","new_accounts_opened_last_12months","multiple_applications_short_time_period","unusual_submission_pattern","applications_submitted_during_odd_hours","watchlist_blacklist_flag","public_records_flag","number_of_delinquent_accounts_imp"
"20",20,44850,70,"Dallas","Other",9162,545,0,FALSE,1,1.465333762,FALSE,73440.9538,50198.42743,1,0,43727,45567,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21",21,45300,19,"Houston","Doctor",91104,677,0,FALSE,1,0.981162353,FALSE,47392.87627,28491.6952142876,0,0,43141,45285,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"22",22,44290,41,"Dallas","Software Developer",72993,672,39,FALSE,2,1.169071847,FALSE,50485.28776,68489.1946552523,1,0,42166,45572,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"23",23,45025,61,"Atlanta","Other",7423,714,10,FALSE,1,1.820369112,FALSE,58055.27183,46396.82484,0,0,42007,45323,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"24",24,44286,47,"Houston","Other",2123,585.910490269377,0,FALSE,1,0.791201592,FALSE,73608.55673,35214.6975038118,0,0,43555,45283,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"25",25,44886,55,"Boston","Teacher",35967,393,97,TRUE,5,2.968236933,TRUE,11614.97306,3538.799918,3,1,43765,45324,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"26",26,44161,19,"Houston","Artist",18274,610,0,FALSE,1,2.209266427,FALSE,56178.33053,54674.20375,0,0,45433,45393,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"27",27,43885,38,"Miami","Accountant",19858,582,0,FALSE,1,1.247786815,TRUE,23343.26976,21732.64577,1,1,44373,45461,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"28",28,44849,50,"New York","Other",5109,465,101,TRUE,4,2.473849223,FALSE,12486.24185,5151.42547,4,2,42510,45264,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"29",29,44520,29,"Atlanta","Teacher",36972,714,0,FALSE,1,0.86845157,FALSE,79132.17884,55529.29579,0,0,43571,45240,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"30",30,43899,39,"Atlanta","Doctor",66881,570,56,FALSE,1,0.930557781,FALSE,19548.23574,36528.938336548,2,1,43062,45358,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31",31,45544,61,"San Francisco","Consultant",16904,501,0,FALSE,1,1.204291122,FALSE,72187.65645,55024.90267,2,1,42375,45451,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",32,43776,42,"Miami","Teacher",35762,488,0,FALSE,1,1.933065208,FALSE,87309.03955,50756.3739,3,2,42957,45260,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"33",33,45033,66,"Chicago","Artist",13697,747,1,FALSE,1,1.361047351,FALSE,57269.66661,71985.1561736325,0,0,42784,45382,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"34",34,43870,44,"Houston","Accountant",31500,310,90,FALSE,6,1.977127873,FALSE,8177.832046,1791.00414,3,2,44335,45362,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"35",35,44578,59,"San Francisco","Accountant",29161,651,0,FALSE,1,1.758605848,FALSE,93261.06401,57494.12906,0,0,44471,45468,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36",36,43804,45,"Los Angeles","Accountant",23444,772,28,FALSE,1,1.057147403,FALSE,54848.9866,40397.04437,0,0,42121,45572,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37",37,45153,33,"Atlanta","Banker",5795,713,0,FALSE,1,0.938034361,FALSE,37506.40443,32534.9285,0,0,42012,45562,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38",38,44809,32,"Atlanta","Teacher",36305,588,0,TRUE,1,1.528867806,FALSE,83803.6239,62200.4707,2,1,43730,45551,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39",39,44812,64,"Los Angeles","Banker",7921,573,0,TRUE,1,1.11968434,FALSE,24122.7101,18784.1262,1,0,44646,45288,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40",40,43890,68,"Miami","Other",8785,712,0,TRUE,1,1.132605221,FALSE,84846.30203,52999.12945,0,0,42952,45484,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41",41,44251,61,"San Francisco","Consultant",14661,376,98,TRUE,2,1.437552354,TRUE,22491.14054,5547.579148,3,1,43896,45454,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"42",42,45508,72,"Seattle","Teacher",28527,731,0,FALSE,1,1.745769234,FALSE,101205.6519,60504.39683,0,0,45429,45302,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43",43,45306,69,"Miami","Teacher",52122,553,0,FALSE,1,0.972636549,FALSE,70141.96079,43887.47688,2,0,43434,45299,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"44",44,43981,74,"New York","Lawyer",68273,754,0,FALSE,1,1.246634006,FALSE,31148.12723,23608.5158,0,0,43185,45255,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"45",45,45098,20,"Boston","Banker",46085,578,0,FALSE,1,1.270423856,FALSE,29164.61472,16461.96607,4,1,42066,45387,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"46",46,45259,54,"Dallas","Accountant",16354,527,112,FALSE,1,2.739364956,TRUE,16086.876,4810.330672,4,1,42782,45398,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"47",47,44523,68,"Los Angeles","Banker",6094,646,0,TRUE,1,0.91821929,FALSE,96098.23984,78184.3548,0,0,43939,45557,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"48",48,44301,24,"Atlanta","Teacher",59938,433,106,FALSE,3,1.950109842,TRUE,49390.69068,9033.649084,3,2,41999,45420,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"49",49,44104,38,"Los Angeles","Doctor",29388,777,0,FALSE,1,1.629672536,FALSE,16902.09402,15358.12123,0,0,41942,45480,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"50",50,43998,26,"Dallas","Accountant",20900,504,93,TRUE,2,1.69120191,FALSE,32427.95297,8679.096399,3,1,42273,45511,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"51",51,43868,56,"Miami","Banker",6711,413,0,FALSE,1,1.598634951,FALSE,72140.53669,45306.30949,3,2,42698,45402,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"52",52,44774,35,"Seattle","Teacher",39262,537,0,FALSE,1,1.260574916,TRUE,59820.19622,37832.9501,1,0,42133,45443,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"53",53,45347,21,"Houston","Banker",7602,639,0,FALSE,1,1.506608278,FALSE,59032.83052,47873.72155,0,0,42000,45301,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"54",54,44703,42,"Seattle","Lawyer",57464,797,0,FALSE,1,0.969772638,FALSE,36522.12817,25960.98537,0,0,44101,45513,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",55,45375,31,"Houston","Other",5598,823.057856041976,0,FALSE,2,1.167099164,FALSE,51758.12482,41650.36783,0,0,44891,45340,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56",56,45071,67,"Los Angeles","Other",2576,356,92,TRUE,2,2.657964673,TRUE,21857.29769,11597.3079,3,1,45144,45437,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"57",57,45368,26,"New York","Retail Worker",17227,803,0,FALSE,1,1.579971437,FALSE,38867.92368,22379.05276,0,0,43124,45562,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58",58,44486,43,"Houston","Artist",51687,800,0,FALSE,1,1.142881947,FALSE,24729.5835,16204.2023,0,0,43359,45392,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"59",59,45314,70,"Miami","Accountant",21798,450,104,TRUE,2,1.343577744,FALSE,37741.63016,17874.95363,4,1,42602,45290,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"60",60,45136,19,"Atlanta","Software Developer",71012,547,0,FALSE,1,1.652366943,TRUE,32193.23442,21121.95402,1,1,42817,45302,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"61",61,44472,37,"Houston","Banker",8233,746,0,FALSE,1,1.632684313,FALSE,89133.90908,76087.12567,0,0,44301,45315,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"62",62,44512,45,"Los Angeles","Other",5182,680,0,FALSE,2,1.06275798,TRUE,20273.30176,12861.9479,0,0,44364,45362,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"63",63,44074,64,"Atlanta","Banker",2390,710,0,FALSE,1,0.790940075,FALSE,46607.41463,43943.7825650769,0,0,44371,45472,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64",64,44682,24,"Miami","Other",5193,644,0,FALSE,1,0.880893128,FALSE,28945.46407,20585.13399,0,0,45495,45529,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"65",65,45570,61,"Boston","Accountant",29800,561,0,FALSE,1,0.96808573,FALSE,57191.45456,43382.20141,2,1,45332,45487,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"66",66,43873,25,"San Francisco","Teacher",47480,686,2,FALSE,1,1.612494821,FALSE,46310.24689,35621.91597,0,0,44094,45536,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67",67,45152,64,"Chicago","Consultant",14664,404,94,FALSE,6,1.654957492,TRUE,9054.818549,2250.89699,4,2,42690,45319,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"68",68,44324,52,"San Francisco","Teacher",46058,463,0,FALSE,1,1.869903907,TRUE,54543.64821,49795.90929,4,1,43190,45494,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"69",69,44883,31,"San Francisco","Banker",7562,625,0,FALSE,1,0.797178473,TRUE,85478.53112,57789.05349,0,0,44827,45547,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"70",70,45029,34,"Houston","Lawyer",62149,656,0,TRUE,1,2.045855183,FALSE,59473.70847,50679.73544,0,0,42731,45489,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71",71,44407,53,"Seattle","Teacher",42860,573,104,TRUE,3,0.887575449,TRUE,30881.11762,6621.466708,4,2,44520,45233,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"72",72,43937,67,"Los Angeles","Consultant",2847,684,0,TRUE,1,2.151687792,TRUE,109849.7611,75397.37966,0,0,45143,45362,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"73",73,44799,57,"Seattle","Engineer",58602,702,0,FALSE,1,1.137410524,TRUE,44874.61061,30543.64168,0,0,44777,45549,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"74",74,43947,21,"Dallas","Other",6505,548,0,FALSE,1,0.933293724,FALSE,11538.21983,10090.47101,2,1,45087,45270,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"75",75,44209,19,"Dallas","Other",7781,508,0,FALSE,2,1.725031373,FALSE,23223.59492,17100.74747,2,0,42138,45252,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"76",76,43962,23,"Houston","Consultant",13645,576,0,FALSE,1,1.284141949,FALSE,90956.74137,74494.27503,2,0,42361,45571,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"77",77,45375,71,"Chicago","Engineer",5467,509,0,FALSE,1,0.822650729,FALSE,22862.14809,16287.25089,2,1,45054,45588,4,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"78",78,44202,59,"Boston","Banker",2643,560,4,FALSE,1,1.085378947,FALSE,87628.94729,49546.3598,2,0,45392,45479,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"79",79,45083,21,"Atlanta","Software Developer",8643,597,0,FALSE,1,0.824489384,FALSE,66483.1484,58029.23607,2,0,45122,45482,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"80",80,45460,71,"Miami","Retail Worker",16913,737,0,TRUE,1,1.074537599,FALSE,91218.26243,74040.85685,0,0,44674,45282,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81",81,45575,46,"San Francisco","Artist",9841,357,104,TRUE,4,0.682426857,FALSE,5922.185914,2911.514098,4,1,42925,45279,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"82",82,44147,35,"Miami","Banker",4765,625.771539218125,91,TRUE,8,1.629861032,TRUE,37565.33744,15732.07374,4,2,44352,45398,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"83",83,45441,43,"San Francisco","Accountant",55000,769,0,FALSE,1,1.307391752,FALSE,96068.92414,74974.51141,0,0,42497,45246,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"84",84,45254,61,"New York","Accountant",42369,373,0,FALSE,1,1.294025328,FALSE,55234.41142,38645.62842,4,2,41945,45575,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"85",85,45211,51,"Houston","Other",48575,420,0,FALSE,1,1.191396439,FALSE,77769.37678,43475.20307,4,2,43070,45536,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"86",86,44874,27,"New York","Banker",7318,666,0,FALSE,1,1.355431085,FALSE,45030.16023,37956.2624,0,0,44232,45227,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87",87,44867,53,"Miami","Other",5604,677,0,FALSE,1,1.173521392,FALSE,30660.44108,22129.80699,0,0,43066,45392,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"88",88,45351,31,"Atlanta","Consultant",96723,829,0,FALSE,1,2.144986396,FALSE,96868.35766,79261.43282,0,0,44533,45274,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"89",89,45295,48,"Miami","Other",6290,524,0,FALSE,1,0.768817495,FALSE,72590.20561,51335.95601,1,1,45191,45294,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"90",90,44093,65,"Los Angeles","Banker",7846,773,0,FALSE,1,1.038053495,FALSE,47580.91899,41119.26277,0,0,43268,45508,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",91,44341,32,"Houston","Other",3362,782,0,FALSE,1,1.173072951,FALSE,65602.06963,42224.86606,0,0,44148,45398,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"92",92,44836,25,"Seattle","Banker",5539,577,32,TRUE,3,2.431900689,TRUE,60916.99673,43485.7058,2,1,45193,45284,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"93",93,45243,31,"San Francisco","Consultant",13399,833,0,FALSE,1,0.982587046,FALSE,62543.72326,41325.11089,0,0,44374,45485,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"94",94,43803,40,"Houston","Engineer",84030,632,0,FALSE,1,1.428990008,FALSE,40043.41538,5352.84424181019,0,0,44079,45538,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"95",95,44804,74,"Boston","Other",3902,649,0,FALSE,1,1.356155392,FALSE,81110.77219,18280.9413944426,0,0,43819,45566,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"96",96,45385,57,"New York","Teacher",40666,799,0,FALSE,1,1.512080364,FALSE,67044.80406,52239.65307,0,0,42174,45522,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"97",97,45363,38,"Houston","Other",9748,639,0,FALSE,1,1.690075013,TRUE,22542.17489,19027.09849,0,0,43456,45308,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"98",98,44409,33,"Chicago","Other",5501,574,0,FALSE,1,1.428609428,FALSE,44432.59572,29644.73097,2,1,44542,45457,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"99",99,44259,62,"Miami","Retail Worker",18437,554,52,FALSE,1,1.081621413,FALSE,26670.74466,16468.59908,2,1,44669,45407,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"100",100,44290,35,"Chicago","Doctor",66492,803,0,FALSE,1,0.707476602,FALSE,44519.89487,23673.7015919439,0,0,42320,45313,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"101",101,44895,64,"Houston","Consultant",16945,446,90,TRUE,7,1.358279585,FALSE,37247.92004,19483.16193,3,2,43897,45448,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"102",102,44032,70,"Dallas","Lawyer",45465,840,0,FALSE,1,1.003688365,FALSE,51589.04993,42253.46504,0,0,44154,45520,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103",103,45267,41,"Dallas","Other",5769,698,8,TRUE,1,1.311718866,FALSE,56593.82724,50639.71004,0,0,44856,45489,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"104",104,43890,43,"Boston","Teacher",30029,593,10,FALSE,1,1.382192411,TRUE,92220.33083,70327.805,2,1,44807,45417,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"105",105,45134,42,"Seattle","Teacher",54432,763,4,FALSE,1,0.638578591,FALSE,49218.33534,32667.75597,0,0,44602,45447,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106",106,43807,62,"Boston","Other",8126,545,0,FALSE,1,1.314288165,FALSE,65027.5977,42284.85613,1,1,43117,45249,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"107",107,45293,58,"Seattle","Banker",6578,768,0,FALSE,1,0.807019525,FALSE,19543.43889,14209.88568,0,0,42273,45436,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"108",108,44636,46,"Atlanta","Other",9971,493,4,FALSE,1,1.338463338,FALSE,80687.90378,48442.03367,3,2,43054,45575,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"109",109,44044,32,"New York","Retail Worker",19371,595,0,FALSE,1,1.449401017,FALSE,65144.32028,46717.2059,2,0,44750,45558,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110",110,44599,62,"Houston","Banker",6026,659,6,FALSE,1,0.811280774,FALSE,56971.81505,46838.23838,0,0,42807,45307,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"111",111,45322,18,"Chicago","Consultant",7735,560,0,FALSE,1,1.259400243,FALSE,29971.99973,26454.21855,1,0,43709,45587,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"112",112,44621,42,"Dallas","Banker",8300,560,91,TRUE,9,1.745743769,TRUE,32436.53933,14516.12714,3,2,43383,45463,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"113",113,45539,24,"Boston","Banker",2201,588,0,FALSE,1,1.777963015,FALSE,67478.71975,69761.42655,2,1,42930,45227,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114",114,44559,26,"Los Angeles","Banker",9951,360,94,TRUE,2,0.903745975,TRUE,15407.13424,5915.622054,4,1,44875,45570,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"115",115,44359,41,"New York","Software Developer",25011,568,0,TRUE,1,1.368681038,FALSE,81611.16093,58485.30469,1,1,44675,45506,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"116",116,45496,18,"Los Angeles","Retail Worker",9664,741,0,FALSE,1,1.054041174,FALSE,35339.59942,26837.60354,0,0,42535,45538,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"117",117,44330,61,"Miami","Consultant",14046,798,0,FALSE,1,1.864024864,TRUE,47968.43095,31414.03573,0,0,45090,45289,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118",118,45127,25,"Chicago","Software Developer",43346,588,0,FALSE,1,1.616664301,FALSE,73473.88422,47178.68287,2,1,43049,45390,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"119",119,44182,41,"Atlanta","Banker",8876,698,0,FALSE,1,1.270874272,FALSE,21888.49709,12528.008,0,0,44556,45246,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"120",120,45321,28,"Seattle","Software Developer",70802,502,97,TRUE,2,1.646160043,TRUE,5926.716327,1669.68055,3,2,42540,45340,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"121",121,45358,68,"Los Angeles","Banker",4560,707,7,FALSE,1,1.20237105,FALSE,81738.44513,59905.63596,0,0,43378,45342,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"122",122,45338,34,"Miami","Consultant",14929,637,96,TRUE,10,3.225577796,FALSE,6541.280914,2036.483445,4,2,42492,45536,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"123",123,45491,25,"Atlanta","Doctor",30424,597,0,FALSE,1,1.471798075,TRUE,71935.0719,73740.09501,2,0,44170,45244,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"124",124,45387,52,"Seattle","Teacher",22855,404,103,TRUE,6,1.91416046,TRUE,22772.04675,7872.970417,4,2,45183,45567,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"125",125,44703,52,"Boston","Teacher",30007,811,0,FALSE,1,0.744916508,FALSE,64468.39435,42648.30052,0,0,45012,45485,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"126",126,45560,50,"Dallas","Banker",6357,632,0,FALSE,1,2.262618284,FALSE,28819.12343,24490.76333,0,0,45565,45232,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"127",127,43867,22,"Miami","Other",4109,410,61,FALSE,2,1.558996139,TRUE,11588.97694,6375.503492,4,1,43079,45232,4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"128",128,43915,59,"Dallas","Teacher",22447,662,0,FALSE,1,1.533328837,FALSE,19232.69087,11856.23329,0,0,43507,45383,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"129",129,45091,56,"New York","Consultant",14015,439,99,FALSE,3,2.369424069,TRUE,11211.22019,4676.532401,3,2,43553,45264,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"130",130,43966,58,"Los Angeles","Accountant",28502,598,0,FALSE,1,9.975929681,FALSE,43172.2826,39924.48825,2,1,43041,45390,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"131",131,44177,45,"Dallas","Artist",20596,452,61,TRUE,1,1.381636903,FALSE,25848.6901,16447.19473,3,2,45481,45383,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"132",132,44618,24,"Miami","Software Developer",9972,920,98,TRUE,6,1.472118147,TRUE,48457.39722,20263.84888,3,2,44109,45319,3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"133",133,43819,26,"Boston","Accountant",30227,758,0,FALSE,1,1.243550713,FALSE,62422.94386,43694.23645,0,0,44800,45298,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"134",134,44476,25,"Los Angeles","Artist",23823,694,0,FALSE,1,1.557976253,FALSE,90762.25999,65035.59364,0,0,44540,45455,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"135",135,44314,29,"Miami","Engineer",32655,717,0,FALSE,1,1.058549619,FALSE,58952.03141,45600.28378,0,0,44288,45527,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
